utt,engine,lsd_db_mean,lsd_db_max,click_ratio_mean
hts1a,osc-bank,4.09,5.43,2.66
hts1a,impulse-iir,5.67,6.89,2.77
hts1a,impulse-iir-csd-sos,5.91,7.33,2.74
hts1a,lsp-allpass-csd3,5.75,7.02,2.74
hts1a,kl-lattice-csd3,5.69,6.84,2.79
hts2a,osc-bank,4.47,6.77,1.89
hts2a,impulse-iir,6.1,8.47,1.72
hts2a,impulse-iir-csd-sos,6.84,8.08,2.93
hts2a,lsp-allpass-csd3,6.09,8.24,1.92
hts2a,kl-lattice-csd3,6.11,8.25,1.73
ve9qrp_10s,osc-bank,2.52,5.2,2.26
ve9qrp_10s,impulse-iir,4.72,6.18,1.97
ve9qrp_10s,impulse-iir-csd-sos,5.21,6.25,3.35
ve9qrp_10s,lsp-allpass-csd3,4.75,6.29,1.99
ve9qrp_10s,kl-lattice-csd3,4.75,6.22,1.99
MEAN-3UTT,osc-bank,3.69,6.77,2.27
MEAN-3UTT,impulse-iir,5.5,8.47,2.15
MEAN-3UTT,impulse-iir-csd-sos,5.99,8.08,3.01
MEAN-3UTT,lsp-allpass-csd3,5.53,8.24,2.22
MEAN-3UTT,kl-lattice-csd3,5.52,8.25,2.17
