utt,point,etype,level,lsd_mean,lsd_median,lsd_p90,lsd_frames,nmr_median,nmr_p90,segsnr_mean,segsnr_median,crest_delta_median,crest_delta_p90,estoi_orig
hts1a,CLEAN,-,0,0,0,0,271,-inf,nan,35,35,-1.0658e-14,-1.7764e-15,0.55845
hts1a,CLEAN2,-,0,5.7735,5.5427,7.9266,271,-8.595,-3.7509,13.145,15.549,0.017992,0.683,0.55313
hts1a,coslsp,white,0.0001,0.064053,0.035348,0.14205,271,-51.209,-42.056,34.941,35,-0.0007865,0.023508,0.55815
hts1a,coslsp,white,0.0004,0.24543,0.13927,0.57559,271,-39.195,-29.78,31.449,33.306,-0.0027161,0.09648,0.55711
hts1a,coslsp,white,0.0016,0.90381,0.55954,1.9628,271,-26.975,-17.667,21.202,21.318,-0.010398,0.3649,0.5512
hts1a,coslsp,white,0.0064,2.8894,2.2832,5.2856,271,-14.796,-5.6453,8.7508,9.6518,-0.081449,1.0276,0.47572
hts1a,coslsp,white,0.0256,16.752,7.589,45.898,271,0.11485,47.618,-3.9186,-5.236,-2.3413,1.7152,0.11127
hts1a,coslsp,white,0.1024,47.91,47.526,69.879,271,49.436,72.074,-10,-10,-11.013,-8.3133,0.11087
hts1a,coslsp,framemod,0.0001,0.090941,0.045018,0.16871,271,-50.025,-40.01,34.673,35,0.00021858,0.0281,0.55858
hts1a,coslsp,framemod,0.0004,0.32302,0.18056,0.66998,271,-37.968,-27.993,30.215,31.773,0.00078721,0.12097,0.55856
hts1a,coslsp,framemod,0.0016,1.1325,0.71528,2.5122,271,-25.992,-15.862,19.773,19.642,0.0027945,0.477,0.55154
hts1a,coslsp,framemod,0.0064,3.4169,2.7274,6.7987,271,-13.767,-4.3214,7.8471,8.1945,-0.012762,1.4347,0.46063
hts1a,coslsp,framemod,0.0256,16.434,9.6955,38.07,271,5.6564,40.731,-4.8207,-9.8926,-2.8135,1.6157,0.10519
hts1a,coslsp,framemod,0.1024,42.791,41.44,64.048,271,44.991,68.065,-9.9124,-10,-10.33,-6.71,0.16437
hts1a,coslsp,dc,0.0001,0.056428,0.031086,0.10652,271,-50.178,-44.027,34.913,35,0.00036646,0.014897,0.55878
hts1a,coslsp,dc,0.0004,0.22465,0.12446,0.44924,271,-38.071,-31.969,30.694,32.121,0.0026727,0.059725,0.55978
hts1a,coslsp,dc,0.0016,0.79107,0.51257,1.5438,271,-25.786,-20.576,19.565,20.041,0.012373,0.21357,0.56399
hts1a,coslsp,dc,0.0064,2.4975,2.0556,4.7467,271,-14.157,-8.805,7.6933,7.6578,0.0003717,0.60775,0.57066
hts1a,coslsp,dc,0.0256,8.4405,7.911,13.314,271,-3.1556,1.2858,-2.5175,-2.622,-0.56048,1.2027,0.44819
hts1a,coslsp,dc,0.1024,22.615,18.669,39.282,271,3.7555,34.198,-9.0266,-10,-9.1763,-4.6,0.11774
hts1a,coslsp,worst,0.0001,0.053507,0.024928,0.11149,271,-51.829,-40.587,34.95,35,-0.018185,0.0013789,0.5578
hts1a,coslsp,worst,0.0004,0.2077,0.098684,0.45969,271,-39.815,-28.39,31.296,32.672,-0.073406,0.0059385,0.55571
hts1a,coslsp,worst,0.0016,0.84059,0.42569,2.0675,271,-27.835,-16.452,20.27,20.499,-0.31016,0.049146,0.54512
hts1a,coslsp,worst,0.0064,3.6177,1.8842,8.4746,271,-15.103,-2.8288,6.7381,8.1339,-1.6705,0.23542,0.48203
hts1a,coslsp,worst,0.0256,9.5846,7.7715,16.727,271,-1.85,21.723,-4.2241,-4.6129,-4.2448,-0.062568,0.29207
hts1a,coslsp,worst,0.1024,21.867,18.826,37.342,271,24.999,49.925,-9.052,-10,-4.7575,-1.4851,0.31546
hts1a,state,white,0.25,0.038191,0.0086833,0.11658,271,-66.899,-43.985,35,35,-3.451e-05,0.0011109,0.55844
hts1a,state,white,1,0.15375,0.034713,0.45117,271,-54.858,-32.022,34.083,35,-0.00012204,0.0045743,0.5584
hts1a,state,white,4,0.54945,0.13891,1.6365,271,-42.824,-19.949,30.577,35,-0.00053176,0.017804,0.55823
hts1a,state,white,16,1.6073,0.55712,4.89,271,-30.759,-8.1255,24.432,28.586,-0.0034492,0.064026,0.55723
hts1a,state,white,64,3.9198,2.1767,10.407,271,-18.851,4.8693,15.102,16.51,-0.031634,0.14802,0.55169
hts1a,state,white,256,8.2593,5.4227,20.3,271,-7.4031,18.649,5.1405,4.2945,-0.1073,0.4365,0.53104
hts1a,state,framemod,0.25,0.053771,0.012956,0.15797,271,-63.99,-40.75,34.998,35,2.7842e-05,0.0019091,0.55847
hts1a,state,framemod,1,0.20701,0.052202,0.61976,271,-51.938,-28.668,33.536,35,0.00011124,0.0076748,0.55853
hts1a,state,framemod,4,0.72638,0.21495,2.3286,271,-39.856,-16.545,29.395,35,0.00027005,0.030528,0.55872
hts1a,state,framemod,16,2.0603,0.82152,6.1674,271,-27.652,-4.8451,22.479,24.942,0.0007941,0.099112,0.55875
hts1a,state,framemod,64,4.8277,2.719,12.976,271,-15.855,8.7871,12.516,13.169,-0.016355,0.32063,0.55284
hts1a,state,framemod,256,9.8395,6.8229,23.559,271,-3.9577,22.121,2.9132,0.91593,-0.13076,0.74549,0.51578
hts1a,state,dc,0.25,0.036539,0.0038097,0.090973,271,-76.441,-49.536,33.495,35,0.00045089,0.0070498,0.55843
hts1a,state,dc,1,0.14631,0.014982,0.34826,271,-64.401,-37.394,30.317,35,0.0018012,0.027311,0.55839
hts1a,state,dc,4,0.41259,0.056285,1.1779,271,-52.363,-25.013,25.884,35,0.0063946,0.098087,0.55818
hts1a,state,dc,16,1.1735,0.18518,3.2923,271,-40.335,-15.203,19.68,27.66,0.016215,0.14158,0.55782
hts1a,state,dc,64,2.6209,0.81672,6.8764,271,-28.591,-3.9746,12.604,15.643,0.028842,0.22286,0.55767
hts1a,state,dc,256,5.5668,3.1065,14.086,271,-16.524,9.7498,5.0196,3.3718,-0.031473,0.35898,0.55178
hts1a,pulsepos,white,0.03125,0.085674,0.053053,0.15171,271,-50.041,-43.288,34.826,35,-1.8208e-14,0.015031,0.5585
hts1a,pulsepos,white,0.125,0.36694,0.21719,0.71571,271,-37.933,-30.855,33.007,35,9.8055e-13,0.089041,0.55703
hts1a,pulsepos,white,0.5,1.3789,0.84071,4.0733,271,-25.611,-11.822,24.582,26.105,-1.8208e-14,0.30295,0.55794
hts1a,pulsepos,white,2,3.1326,3.5971,5.6822,271,-12.695,-7.938,15.061,11.077,-1.7319e-14,0.4382,0.56163
hts1a,pulsepos,white,8,3.5468,4.1653,5.9642,271,-10.778,-6.9644,10.182,4.5932,-3.908e-14,0.61028,0.54828
hts1a,pulsepos,qround,0.03125,0.81654,0.13135,1.5568,271,-43.031,-22.71,30.452,35,9.7902e-11,0.10639,0.56033
hts1a,pulsepos,qround,0.125,2.0041,0.73987,5.7829,271,-28.298,-7.1368,22.237,26.102,1.1917e-11,0.40991,0.55801
hts1a,pulsepos,qround,0.5,2.9157,2.7086,5.6588,271,-15.34,-7.4802,15.191,14.305,1.6539e-08,0.78176,0.55566
hts1a,pulsepos,qround,2,4.0793,4.3992,6.8904,271,-10.211,-5.5924,10.338,4.6431,0.028127,1.0408,0.56006
hts1a,pulsepos,qround,8,4.8173,5.2108,8.4338,271,-7.9021,-2.0022,6.027,-1.916,-1.8208e-14,1.1927,0.5717
hts1a,pulsepos,qtrunc,0.03125,1.9628,1.1721,5.194,271,-24.408,-8.484,22.271,25.626,3.5516e-11,0.35258,0.55527
hts1a,pulsepos,qtrunc,0.125,3.1185,3.718,6.0435,271,-12.737,-7.5842,14.012,10.824,3.5705e-13,0.51399,0.5621
hts1a,pulsepos,qtrunc,0.5,3.6894,4.2118,6.5307,271,-10.912,-6.2347,10.559,4.7125,-2.0428e-14,0.76219,0.55333
hts1a,pulsepos,qtrunc,2,4.6471,5.1078,8.2683,271,-8.3071,-3.4524,6.2857,-2.1548,1.3601e-07,1.0691,0.55924
hts1a,pulsepos,qtrunc,8,5.083,5.221,8.6748,271,-7.3828,-2.2323,5.403,-2.2406,-1.954e-14,1.3272,0.54717
hts1a,log2e,white,0.002,0.013575,0.011603,0.023662,271,-60.954,-54.454,35,35,-0.00028113,0.0065552,0.55844
hts1a,log2e,white,0.008,0.054146,0.046196,0.094834,271,-48.9,-42.415,35,35,-0.0010973,0.026921,0.55841
hts1a,log2e,white,0.032,0.2162,0.18447,0.3992,271,-36.792,-30.263,33.513,34.989,-0.0024425,0.107,0.55824
hts1a,log2e,white,0.128,0.82242,0.71582,1.4014,271,-24.686,-18.047,23.901,22.975,0.0036238,0.41984,0.557
hts1a,log2e,white,0.512,2.8907,2.6839,4.9133,271,-13.122,-5.967,12.016,11.266,0.18251,1.5099,0.53654
hts1a,log2e,framemod,0.002,0.020787,0.016533,0.030365,271,-58.408,-57.086,35,35,-0.00064381,0.01114,0.55844
hts1a,log2e,framemod,0.008,0.082383,0.066155,0.11967,271,-46.35,-45.059,35,35,-0.0023906,0.044342,0.55839
hts1a,log2e,framemod,0.032,0.32621,0.2607,0.45336,271,-34.329,-32.942,33.031,33.035,-0.0071324,0.17415,0.55818
hts1a,log2e,framemod,0.128,1.163,1.0221,1.6041,271,-22.276,-20.863,21.035,20.984,0.0033569,0.66599,0.55684
hts1a,log2e,framemod,0.512,3.8341,3.5591,4.7688,271,-10.524,-7.6927,8.8897,8.7676,0.60494,1.9701,0.54248
