utt,variant,family,tier,lsd,d_dns_sig,d_dns_bak,d_dns_ovrl,d_dns_p808,d_nisqa_mos,d_nisqa_noi,d_nisqa_col,d_nisqa_dis
hts1a,buzz-l0,buzzy,resynth,7.989281277386262,0.275,0.157,0.308,-0.001,-1.59,-0.814,-0.55,-2.217
hts1a,buzz-pump@2,buzzy,corrupt@2,1.9933721164706006,-0.674,0.019,-0.561,-0.244,-0.309,-0.177,-0.146,-0.178
hts1a,buzz-pump@4,buzzy,corrupt@4,3.995675335594353,-1.546,-0.531,-1.328,-0.7,-1.097,-1.249,-0.409,-0.735
hts1a,buzz-sharp@2,buzzy,corrupt@2,2.105009745073538,-0.019,-0.002,-0.021,-0.031,0.104,0.032,0.053,0.014
hts1a,buzz-sharp@4,buzzy,corrupt@4,3.926944315035228,-0.047,0.009,-0.041,0.022,0.079,-0.131,0.045,-0.029
hts1a,buzz-spur@2,buzzy,corrupt@2,2.0723673461185235,0.031,-0.051,0.007,-0.175,-0.438,-1.488,0.723,-0.025
hts1a,buzz-spur@4,buzzy,corrupt@4,4.032141502785063,-0.051,-0.467,-0.203,-0.162,-0.907,-1.463,0.971,0.334
hts1a,par-noise-1000,smooth,resynth,9.551017136990202,-0.061,-0.024,-0.072,-0.602,-1.472,-1.272,-0.209,-0.871
hts1a,par-noise-2000,smooth,resynth,9.107101400015573,0.115,0.049,0.129,-0.204,-0.885,-0.507,-0.194,-1.257
hts1a,par-plain,buzzy,resynth,8.317837371011528,0.159,0.101,0.185,-0.16,-1.464,-0.516,-0.283,-2.076
hts1a,smooth-dither@2,smooth,corrupt@2,2.0883766424457724,-0.018,0.006,-0.008,-0.027,-0.047,-0.044,-0.037,0.035
hts1a,smooth-dither@4,smooth,corrupt@4,3.8916870820168414,-0.035,-0.019,-0.037,-0.069,-0.185,-0.356,0.004,0.154
hts1a,smooth-mix-1500,smooth,resynth,8.27750674078274,0.173,0.112,0.205,-0.108,-1.093,-1.172,-0.359,-0.565
hts1a,smooth-mix-800,smooth,resynth,8.532675650807867,-0.043,-0.204,-0.122,-0.507,-1.409,-1.374,-0.479,-0.831
hts1a,smooth-valley@2,smooth,corrupt@2,1.9934747416207266,-0.042,0.009,-0.036,-0.206,-0.298,-0.183,-0.072,0.012
hts1a,smooth-valley@4,smooth,corrupt@4,3.9855349376432687,-0.147,0.055,-0.11,-0.484,-1.083,-1.629,-0.306,-0.323
hts2a,buzz-l0,buzzy,resynth,8.488289677559393,-0.225,-0.424,-0.363,-0.177,-0.08,0.062,0.081,0.219
hts2a,buzz-pump@2,buzzy,corrupt@2,1.9984089429433767,-0.93,-0.469,-0.907,-0.067,-0.333,-0.415,-0.17,-0.026
hts2a,buzz-pump@4,buzzy,corrupt@4,4.019009449256705,-2.219,-0.732,-1.66,-0.509,-1.206,-0.171,-0.35,-0.709
hts2a,buzz-sharp@2,buzzy,corrupt@2,2.004090301373523,-0.065,-0.011,-0.056,0.032,0.253,-0.082,0.033,0.45
hts2a,buzz-sharp@4,buzzy,corrupt@4,4.0017138369663,0.013,0.014,0.017,-0.103,0.275,-0.108,-0.02,0.547
hts2a,buzz-spur@2,buzzy,corrupt@2,1.9959726688163975,0.072,-0.091,0.021,-0.204,0.074,-0.685,0.172,0.309
hts2a,buzz-spur@4,buzzy,corrupt@4,4.043427287903938,0.12,-0.536,-0.167,-0.343,-0.157,-1.306,0.142,0.181
hts2a,par-noise-1000,smooth,resynth,10.940416200206299,-0.652,-0.667,-0.75,-0.759,-1.083,-0.357,0.192,-0.254
hts2a,par-noise-2000,smooth,resynth,10.776699936625217,-0.598,-0.766,-0.754,-0.757,-1.129,-0.399,0.144,-0.446
hts2a,par-plain,buzzy,resynth,9.795424754628236,-0.497,-0.928,-0.775,-0.722,-1.117,-0.013,0.005,-0.547
hts2a,smooth-dither@2,smooth,corrupt@2,1.9988764899743752,0.006,0.001,0.007,-0.008,-0.008,-0.119,0.055,-0.122
hts2a,smooth-dither@4,smooth,corrupt@4,3.8578399685865725,0.044,0.002,0.037,-0.031,-0.034,-0.231,0.017,-0.139
hts2a,smooth-mix-1500,smooth,resynth,8.82610300110202,-0.361,-0.55,-0.498,-0.498,-0.545,-0.406,-0.06,-0.167
hts2a,smooth-mix-800,smooth,resynth,9.198719579379095,-0.959,-0.505,-0.911,-0.559,-0.747,-0.325,-0.199,-0.133
