utt,tier,buzzy,smooth,dLSD,consensus_pref,consensus_delta,LSD,segSNR,NMR,crest|d|,ESTOI_ref,ESTOI_orig,WARP-Q,DNS_SIG,DNS_BAK,DNS_OVRL,DNS_P808,NISQA_MOS,NISQA_Noi,NISQA_Col,NISQA_Dis
hts1a,corrupt@2,buzz-pump@2,smooth-dither@2,0.1,smooth,0.862,tie,smooth,smooth,smooth,smooth,smooth,smooth,smooth,tie,smooth,smooth,smooth,smooth,smooth,smooth
hts1a,corrupt@2,buzz-pump@2,smooth-valley@2,0.0,smooth,0.452,tie,smooth,smooth,tie,tie,tie,buzzy,smooth,tie,smooth,tie,tie,tie,smooth,smooth
hts1a,corrupt@2,buzz-sharp@2,smooth-dither@2,0.02,buzzy,-0.071,tie,smooth,smooth,tie,tie,tie,tie,tie,tie,tie,tie,buzzy,buzzy,buzzy,tie
hts1a,corrupt@2,buzz-sharp@2,smooth-valley@2,0.11,buzzy,-0.482,tie,smooth,smooth,tie,tie,buzzy,buzzy,tie,tie,tie,buzzy,buzzy,buzzy,buzzy,tie
hts1a,corrupt@2,buzz-spur@2,smooth-dither@2,0.02,smooth,0.416,tie,smooth,smooth,tie,tie,tie,smooth,tie,smooth,tie,smooth,smooth,smooth,buzzy,smooth
hts1a,corrupt@2,buzz-spur@2,smooth-valley@2,0.08,smooth,0.005,tie,smooth,tie,tie,tie,tie,buzzy,buzzy,smooth,tie,tie,smooth,smooth,buzzy,tie
hts1a,corrupt@4,buzz-pump@4,smooth-dither@4,0.1,smooth,2.358,tie,smooth,smooth,smooth,smooth,smooth,tie,smooth,smooth,smooth,smooth,smooth,smooth,smooth,smooth
hts1a,corrupt@4,buzz-pump@4,smooth-valley@4,0.01,smooth,1.218,tie,smooth,smooth,smooth,smooth,buzzy,buzzy,smooth,smooth,smooth,smooth,tie,buzzy,smooth,smooth
hts1a,corrupt@4,buzz-sharp@4,smooth-dither@4,0.04,buzzy,-0.273,tie,smooth,smooth,tie,smooth,tie,tie,tie,tie,tie,buzzy,buzzy,buzzy,tie,smooth
hts1a,corrupt@4,buzz-sharp@4,smooth-valley@4,0.06,buzzy,-1.412,tie,smooth,smooth,tie,buzzy,buzzy,buzzy,buzzy,tie,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy
hts1a,corrupt@4,buzz-spur@4,smooth-dither@4,0.14,smooth,0.664,tie,smooth,smooth,tie,tie,tie,smooth,tie,smooth,smooth,smooth,smooth,smooth,buzzy,buzzy
hts1a,corrupt@4,buzz-spur@4,smooth-valley@4,0.05,buzzy,-0.475,tie,smooth,smooth,tie,buzzy,buzzy,buzzy,buzzy,smooth,smooth,buzzy,buzzy,buzzy,buzzy,buzzy
hts1a,resynth,buzz-l0,par-noise-2000,1.12,buzzy,-0.012,buzzy,tie,buzzy,smooth,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,smooth,smooth,smooth,smooth
hts1a,resynth,buzz-l0,smooth-mix-1500,0.29,smooth,0.058,tie,smooth,buzzy,smooth,buzzy,tie,buzzy,buzzy,tie,buzzy,buzzy,smooth,buzzy,smooth,smooth
hts1a,resynth,buzz-l0,smooth-mix-800,0.54,buzzy,-0.917,buzzy,tie,buzzy,smooth,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,smooth,buzzy,smooth,smooth
hts1a,resynth,par-plain,par-noise-2000,0.79,smooth,0.229,buzzy,tie,buzzy,tie,buzzy,tie,buzzy,tie,buzzy,buzzy,tie,smooth,tie,smooth,smooth
hts1a,resynth,par-plain,smooth-mix-1500,0.04,smooth,0.298,tie,smooth,buzzy,tie,smooth,tie,buzzy,tie,tie,tie,smooth,smooth,buzzy,buzzy,smooth
hts1a,resynth,par-plain,smooth-mix-800,0.21,buzzy,-0.677,tie,smooth,buzzy,smooth,smooth,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,smooth,buzzy,buzzy,smooth
hts2a,corrupt@2,buzz-pump@2,smooth-dither@2,0.0,smooth,0.951,tie,smooth,smooth,smooth,tie,tie,smooth,smooth,smooth,smooth,smooth,smooth,smooth,smooth,buzzy
hts2a,corrupt@2,buzz-pump@2,smooth-valley@2,0.03,smooth,1.092,tie,smooth,smooth,smooth,tie,tie,buzzy,smooth,smooth,smooth,smooth,smooth,smooth,smooth,smooth
hts2a,corrupt@2,buzz-sharp@2,smooth-dither@2,0.01,buzzy,-0.157,tie,smooth,smooth,tie,smooth,tie,smooth,smooth,tie,smooth,tie,buzzy,tie,tie,buzzy
hts2a,corrupt@2,buzz-sharp@2,smooth-valley@2,0.04,buzzy,-0.016,tie,smooth,smooth,tie,tie,tie,buzzy,smooth,tie,smooth,tie,buzzy,buzzy,tie,buzzy
hts2a,corrupt@2,buzz-spur@2,smooth-dither@2,0.0,smooth,0.213,tie,smooth,smooth,tie,tie,tie,smooth,buzzy,smooth,tie,smooth,buzzy,smooth,buzzy,buzzy
hts2a,corrupt@2,buzz-spur@2,smooth-valley@2,0.03,smooth,0.353,tie,smooth,buzzy,tie,tie,tie,buzzy,buzzy,smooth,tie,smooth,smooth,smooth,buzzy,buzzy
hts2a,corrupt@4,buzz-pump@4,smooth-dither@4,0.16,smooth,2.599,tie,smooth,smooth,smooth,smooth,smooth,smooth,smooth,smooth,smooth,smooth,smooth,buzzy,smooth,smooth
hts2a,corrupt@4,buzz-pump@4,smooth-valley@4,0.08,smooth,2.079,tie,smooth,smooth,smooth,buzzy,buzzy,buzzy,smooth,smooth,smooth,smooth,smooth,buzzy,smooth,smooth
hts2a,corrupt@4,buzz-sharp@4,smooth-dither@4,0.14,buzzy,-0.061,tie,smooth,smooth,tie,smooth,tie,smooth,tie,tie,tie,smooth,buzzy,buzzy,tie,buzzy
hts2a,corrupt@4,buzz-sharp@4,smooth-valley@4,0.09,buzzy,-0.581,tie,smooth,smooth,tie,buzzy,buzzy,buzzy,tie,smooth,tie,buzzy,buzzy,buzzy,tie,buzzy
hts2a,corrupt@4,buzz-spur@4,smooth-dither@4,0.19,smooth,0.654,tie,smooth,smooth,tie,smooth,tie,smooth,buzzy,smooth,smooth,smooth,smooth,smooth,buzzy,buzzy
hts2a,corrupt@4,buzz-spur@4,smooth-valley@4,0.05,smooth,0.134,tie,smooth,smooth,tie,buzzy,buzzy,buzzy,buzzy,smooth,smooth,smooth,buzzy,smooth,buzzy,buzzy
hts2a,resynth,buzz-l0,smooth-mix-1500,0.34,buzzy,-0.809,buzzy,tie,buzzy,tie,tie,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy
hts2a,resynth,buzz-l0,smooth-mix-800,0.71,buzzy,-1.317,buzzy,tie,buzzy,tie,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy
hts2a,resynth,par-plain,par-noise-1000,1.14,buzzy,-0.014,buzzy,tie,buzzy,tie,buzzy,buzzy,buzzy,buzzy,smooth,tie,tie,tie,buzzy,smooth,smooth
hts2a,resynth,par-plain,par-noise-2000,0.98,buzzy,-0.04,buzzy,tie,buzzy,tie,buzzy,buzzy,buzzy,buzzy,smooth,tie,tie,tie,buzzy,smooth,smooth
hts2a,resynth,par-plain,smooth-mix-1500,0.97,smooth,0.842,smooth,tie,buzzy,tie,smooth,smooth,smooth,smooth,smooth,smooth,smooth,smooth,buzzy,buzzy,smooth
hts2a,resynth,par-plain,smooth-mix-800,0.6,smooth,0.334,smooth,tie,buzzy,tie,smooth,smooth,smooth,buzzy,smooth,buzzy,smooth,smooth,buzzy,buzzy,smooth
ve9qrp_10s,corrupt@2,buzz-pump@2,smooth-dither@2,0.11,smooth,0.504,tie,smooth,smooth,smooth,smooth,tie,buzzy,smooth,buzzy,smooth,buzzy,smooth,buzzy,smooth,smooth
ve9qrp_10s,corrupt@2,buzz-pump@2,smooth-valley@2,0.01,smooth,0.761,tie,smooth,smooth,smooth,tie,tie,buzzy,smooth,smooth,smooth,buzzy,smooth,smooth,smooth,smooth
ve9qrp_10s,corrupt@2,buzz-sharp@2,smooth-dither@2,0.05,buzzy,-0.485,tie,smooth,smooth,tie,tie,buzzy,buzzy,tie,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy
ve9qrp_10s,corrupt@2,buzz-sharp@2,smooth-valley@2,0.08,buzzy,-0.229,tie,smooth,smooth,tie,tie,buzzy,buzzy,tie,buzzy,tie,tie,buzzy,buzzy,buzzy,buzzy
ve9qrp_10s,corrupt@2,buzz-spur@2,smooth-dither@2,0.01,smooth,0.084,tie,smooth,smooth,tie,tie,tie,smooth,tie,smooth,smooth,buzzy,smooth,smooth,buzzy,buzzy
ve9qrp_10s,corrupt@2,buzz-spur@2,smooth-valley@2,0.11,smooth,0.341,tie,tie,smooth,tie,tie,tie,buzzy,smooth,smooth,smooth,buzzy,smooth,smooth,tie,smooth
ve9qrp_10s,corrupt@4,buzz-pump@4,smooth-dither@4,0.01,smooth,1.535,tie,smooth,smooth,smooth,smooth,tie,buzzy,smooth,smooth,smooth,buzzy,smooth,buzzy,smooth,smooth
ve9qrp_10s,corrupt@4,buzz-pump@4,smooth-valley@4,0.13,smooth,1.127,tie,smooth,smooth,smooth,buzzy,buzzy,buzzy,smooth,smooth,smooth,buzzy,smooth,smooth,smooth,smooth
ve9qrp_10s,corrupt@4,buzz-sharp@4,smooth-dither@4,0.14,buzzy,-0.539,tie,smooth,smooth,tie,tie,buzzy,buzzy,tie,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy
ve9qrp_10s,corrupt@4,buzz-sharp@4,smooth-valley@4,0.03,buzzy,-0.947,tie,smooth,tie,tie,buzzy,buzzy,buzzy,tie,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy
ve9qrp_10s,corrupt@4,buzz-spur@4,smooth-dither@4,0.18,smooth,0.173,tie,smooth,smooth,tie,tie,tie,buzzy,buzzy,smooth,smooth,buzzy,smooth,tie,buzzy,buzzy
ve9qrp_10s,corrupt@4,buzz-spur@4,smooth-valley@4,0.06,buzzy,-0.234,tie,smooth,smooth,tie,buzzy,buzzy,buzzy,buzzy,smooth,smooth,buzzy,buzzy,smooth,buzzy,buzzy
ve9qrp_10s,resynth,buzz-l0,par-noise-1000,0.89,buzzy,-1.026,buzzy,tie,buzzy,smooth,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,buzzy,smooth
