engine,L,mul/smp,add/smp,shift/smp,mem/smp,setup_cyc(mul),MHz@mul,MHz@nomul,RAM_B,flash_B
osc-bank,20,20,60,40,20,100,1.28,20.32,136,1112
osc-bank,40,40,120,80,40,200,2.57,40.65,256,1112
osc-bank,80,80,240,160,80,400,5.14,81.3,496,1112
impulse-iir,20,10,14,1,11,370,0.41,10.76,50,800
impulse-iir,40,10,14,1,11,370,0.41,10.76,50,800
impulse-iir,80,10,14,1,11,370,0.41,10.76,50,800
impulse-iir-csd,20,0,34,31,11,480,0.74,0.74,61,900
impulse-iir-csd,40,0,34,31,11,480,0.74,0.74,61,900
impulse-iir-csd,80,0,34,31,11,480,0.74,0.74,61,900
impulse-iir-csd-sos,20,0,39,31,11,480,0.78,0.78,61,900
impulse-iir-csd-sos,40,0,39,31,11,480,0.78,0.78,61,900
impulse-iir-csd-sos,80,0,39,31,11,480,0.78,0.78,61,900
meander-sq,20,0,40,0,20,343,0.98,0.98,120,700
meander-sq,40,0,80,0,40,791,1.96,1.96,240,700
meander-sq,80,0,160,0,80,1785,3.93,3.93,480,700
meander-tri,20,0,60,20,20,343,1.3,1.3,120,700
meander-tri,40,0,120,40,40,791,2.6,2.6,240,700
meander-tri,80,0,240,80,80,1785,5.21,5.21,480,700
cycle-replay,20,1.4,3.4,1,2.4,4800,0.32,6.42,176,1312
cycle-replay,40,1.4,3.4,1,2.4,19200,1.04,21.42,336,1312
cycle-replay,80,1.4,3.4,1,2.4,76800,3.92,81.42,656,1312
cycle-replay-2x,20,1.4,3.4,1,2.4,9600,0.56,11.42,336,1312
cycle-replay-2x,40,1.4,3.4,1,2.4,38400,2.0,41.42,656,1312
cycle-replay-2x,80,1.4,3.4,1,2.4,153600,7.76,161.42,1296,1312
cycle-replay-nn,20,0.4,1.4,1,1.4,4800,0.28,5.43,176,1212
cycle-replay-nn,40,0.4,1.4,1,1.4,19200,1.0,20.43,336,1212
cycle-replay-nn,80,0.4,1.4,1,1.4,76800,3.88,80.43,656,1212
