case,form,terms,sd_rms_db,sd_max_db,unstable_before_fixup
aa-50Hz,direct,2,7.87,19.37,1
aa-50Hz,direct,3,6.4,19.7,1
aa-50Hz,direct,4,2.59,10.9,0
aa-50Hz,sos,2,3.43,10.88,0
aa-50Hz,sos,3,0.38,1.16,0
aa-50Hz,sos,4,0.06,0.26,0
aa-80Hz,direct,2,8.07,19.53,1
aa-80Hz,direct,3,6.09,15.56,0
aa-80Hz,direct,4,1.81,7.38,0
aa-80Hz,sos,2,3.27,12.14,0
aa-80Hz,sos,3,0.38,1.21,0
aa-80Hz,sos,4,0.04,0.11,0
aa-120Hz,direct,2,8.21,20.31,1
aa-120Hz,direct,3,5.64,17.06,1
aa-120Hz,direct,4,2.31,9.65,1
aa-120Hz,sos,2,3.68,11.38,0
aa-120Hz,sos,3,0.42,1.05,0
aa-120Hz,sos,4,0.06,0.16,0
aa-180Hz,direct,2,12.47,28.39,1
aa-180Hz,direct,3,6.34,19.41,1
aa-180Hz,direct,4,1.14,3.79,0
aa-180Hz,sos,2,4.05,10.57,0
aa-180Hz,sos,3,0.28,0.74,0
aa-180Hz,sos,4,0.06,0.12,0
aa-250Hz,direct,2,13.42,31.31,1
aa-250Hz,direct,3,3.71,10.45,1
aa-250Hz,direct,4,2.12,7.06,0
aa-250Hz,sos,2,0.93,1.59,0
aa-250Hz,sos,3,0.43,0.88,0
aa-250Hz,sos,4,0.06,0.12,0
aa-330Hz,direct,2,4.83,11.75,1
aa-330Hz,direct,3,5.74,12.09,1
aa-330Hz,direct,4,2.91,9.09,0
aa-330Hz,sos,2,1.35,3.92,0
aa-330Hz,sos,3,0.4,1.03,0
aa-330Hz,sos,4,0.03,0.06,0
aa-400Hz,direct,2,9.89,20.53,1
aa-400Hz,direct,3,2.64,3.86,1
aa-400Hz,direct,4,2.79,7.17,0
aa-400Hz,sos,2,1.05,1.57,0
aa-400Hz,sos,3,0.42,1.0,0
aa-400Hz,sos,4,0.09,0.18,0
