case,env,f0,L,engine,amp_shape_mean_db,amp_shape_max_db,amp_gain_db,spur_db,nmr_proxy_db
aa-50Hz,aa,50,79,osc-bank,0.0,0.0,0.0,-97.17,-88.58
aa-50Hz,aa,50,79,impulse-iir,0.146,0.308,-0.003,-97.17,-33.8
aa-50Hz,aa,50,79,impulse-iir-csd,8.801,19.081,-4.011,-95.29,1.99
aa-50Hz,aa,50,79,impulse-iir-csd-sos,0.315,1.188,-0.043,-96.72,-24.72
aa-50Hz,aa,50,79,meander-sq,10.423,42.314,-0.121,-97.96,17.52
aa-50Hz,aa,50,79,meander-tri,8.272,40.929,0.456,-98.22,15.68
aa-50Hz,aa,50,79,cycle-replay,0.0,0.0,-0.0,-97.03,-227.09
aa-50Hz,aa,50,79,cycle-replay-2x,0.0,0.0,-0.0,-97.03,-231.02
aa-50Hz,aa,50,79,cycle-replay-nn,0.0,0.0,-0.0,-97.03,-111.56
aa-80Hz,aa,80,49,osc-bank,0.0,0.0,-0.0,-94.51,-89.55
aa-80Hz,aa,80,49,impulse-iir,0.269,0.553,-0.008,-94.58,-28.55
aa-80Hz,aa,80,49,impulse-iir-csd,11.966,24.11,-11.423,-94.51,1.76
aa-80Hz,aa,80,49,impulse-iir-csd-sos,0.537,1.771,-0.065,-94.76,-21.48
aa-80Hz,aa,80,49,meander-sq,10.188,38.443,-0.307,-56.99,15.79
aa-80Hz,aa,80,49,meander-tri,8.32,39.206,0.481,-94.79,15.65
aa-80Hz,aa,80,49,cycle-replay,0.0,0.0,-0.0,-94.57,-238.23
aa-80Hz,aa,80,49,cycle-replay-2x,0.0,0.0,-0.0,-94.57,-242.06
aa-80Hz,aa,80,49,cycle-replay-nn,0.0,0.0,-0.0,-94.57,-258.73
aa-120Hz,aa,120,33,osc-bank,0.0,0.0,0.0,-94.54,-90.25
aa-120Hz,aa,120,33,impulse-iir,1.276,4.022,-0.264,-37.74,-15.47
aa-120Hz,aa,120,33,impulse-iir-csd,8.843,17.11,-5.573,-1.54,0.6
aa-120Hz,aa,120,33,impulse-iir-csd-sos,1.435,3.811,-0.308,-37.88,-14.71
aa-120Hz,aa,120,33,meander-sq,5.976,32.878,0.11,-16.53,17.47
aa-120Hz,aa,120,33,meander-tri,5.21,31.642,0.299,-30.18,16.01
aa-120Hz,aa,120,33,cycle-replay,1.199,3.624,-0.278,-37.73,-15.7
aa-120Hz,aa,120,33,cycle-replay-2x,0.294,0.879,-0.071,-50.83,-27.09
aa-120Hz,aa,120,33,cycle-replay-nn,1.553,7.97,-0.11,-19.84,-8.76
aa-180Hz,aa,180,22,osc-bank,0.0,0.0,-0.0,-94.62,-90.38
aa-180Hz,aa,180,22,impulse-iir,1.643,4.405,-0.297,-42.02,-14.05
aa-180Hz,aa,180,22,impulse-iir-csd,10.666,16.285,-5.049,-28.29,3.28
aa-180Hz,aa,180,22,impulse-iir-csd-sos,1.869,4.595,-0.325,-42.93,-13.12
aa-180Hz,aa,180,22,meander-sq,2.094,12.967,0.03,-16.35,18.04
aa-180Hz,aa,180,22,meander-tri,4.387,27.597,0.151,-31.66,17.01
aa-180Hz,aa,180,22,cycle-replay,1.368,3.951,-0.296,-38.11,-15.14
aa-180Hz,aa,180,22,cycle-replay-2x,0.326,0.965,-0.072,-51.66,-27.1
aa-180Hz,aa,180,22,cycle-replay-nn,2.625,10.912,-0.184,-19.53,1.73
aa-250Hz,aa,250,15,osc-bank,0.0,0.0,0.0,-94.69,-93.94
aa-250Hz,aa,250,15,impulse-iir,0.616,1.912,-0.019,-94.75,-19.05
aa-250Hz,aa,250,15,impulse-iir-csd,11.734,17.802,-4.422,-94.34,5.32
aa-250Hz,aa,250,15,impulse-iir-csd-sos,1.085,2.092,-0.028,-94.72,-16.53
aa-250Hz,aa,250,15,meander-sq,10.316,38.124,-0.057,-94.72,19.25
aa-250Hz,aa,250,15,meander-tri,8.911,37.609,0.422,-94.74,17.38
aa-250Hz,aa,250,15,cycle-replay,0.0,0.0,0.0,-94.67,-257.94
aa-250Hz,aa,250,15,cycle-replay-2x,0.0,0.0,0.0,-94.67,-257.94
aa-250Hz,aa,250,15,cycle-replay-nn,0.0,0.0,0.0,-94.67,-257.94
aa-330Hz,aa,330,12,osc-bank,0.0,0.0,0.0,-94.59,-93.96
aa-330Hz,aa,330,12,impulse-iir,1.862,4.025,-0.34,-36.72,-12.89
aa-330Hz,aa,330,12,impulse-iir-csd,1.966,3.795,-0.764,-25.8,-10.8
aa-330Hz,aa,330,12,impulse-iir-csd-sos,1.915,4.297,-0.391,-37.93,-11.74
aa-330Hz,aa,330,12,meander-sq,0.846,4.39,0.003,-16.83,14.05
aa-330Hz,aa,330,12,meander-tri,6.231,34.731,0.231,-29.85,14.78
aa-330Hz,aa,330,12,cycle-replay,1.777,5.039,-0.275,-37.22,-15.6
aa-330Hz,aa,330,12,cycle-replay-2x,0.428,1.192,-0.069,-50.26,-26.97
aa-330Hz,aa,330,12,cycle-replay-nn,1.515,8.387,-0.138,-20.2,-1.12
aa-400Hz,aa,400,9,osc-bank,0.0,0.0,-0.0,-94.73,-96.5
aa-400Hz,aa,400,9,impulse-iir,1.6,3.578,-0.054,-94.76,-11.42
aa-400Hz,aa,400,9,impulse-iir-csd,11.102,16.772,-4.171,-94.62,5.74
aa-400Hz,aa,400,9,impulse-iir-csd-sos,1.551,3.599,-0.039,-94.76,-11.57
aa-400Hz,aa,400,9,meander-sq,7.662,22.208,0.436,-64.18,14.01
aa-400Hz,aa,400,9,meander-tri,6.684,18.077,0.574,-94.73,12.45
aa-400Hz,aa,400,9,cycle-replay,0.0,0.0,-0.0,-94.76,-241.61
aa-400Hz,aa,400,9,cycle-replay-2x,0.0,0.0,-0.0,-94.76,-245.41
aa-400Hz,aa,400,9,cycle-replay-nn,0.0,0.0,-0.0,-94.76,-259.03
iy-50Hz,iy,50,79,osc-bank,0.0,0.0,-0.0,-95.86,-88.86
iy-50Hz,iy,50,79,impulse-iir,0.265,0.609,-0.012,-95.97,-27.47
iy-50Hz,iy,50,79,impulse-iir-csd,0.783,8.53,-3.04,-94.43,-8.77
iy-50Hz,iy,50,79,impulse-iir-csd-sos,0.514,2.396,-0.206,-95.85,-21.31
iy-50Hz,iy,50,79,meander-sq,6.313,23.454,-0.177,-98.19,4.74
iy-50Hz,iy,50,79,meander-tri,5.454,21.255,0.477,-96.77,8.09
iy-50Hz,iy,50,79,cycle-replay,0.0,0.0,-0.0,-95.59,-223.92
iy-50Hz,iy,50,79,cycle-replay-2x,0.0,0.0,-0.0,-95.59,-226.85
iy-50Hz,iy,50,79,cycle-replay-nn,0.0,0.0,0.0,-95.44,-113.55
iy-80Hz,iy,80,49,osc-bank,0.0,0.0,0.0,-94.43,-90.68
iy-80Hz,iy,80,49,impulse-iir,0.538,1.034,-0.043,-94.68,-22.18
iy-80Hz,iy,80,49,impulse-iir-csd,2.845,4.408,-0.642,-94.78,-10.12
iy-80Hz,iy,80,49,impulse-iir-csd-sos,0.503,1.843,-0.057,-94.73,-21.35
iy-80Hz,iy,80,49,meander-sq,7.514,25.713,0.212,-81.09,6.06
iy-80Hz,iy,80,49,meander-tri,5.519,18.924,0.564,-94.54,7.26
iy-80Hz,iy,80,49,cycle-replay,0.0,0.0,-0.0,-94.51,-235.18
iy-80Hz,iy,80,49,cycle-replay-2x,0.0,0.0,-0.0,-94.51,-238.1
iy-80Hz,iy,80,49,cycle-replay-nn,0.0,0.0,-0.0,-94.51,-268.62
iy-120Hz,iy,120,33,osc-bank,0.0,0.0,-0.0,-94.52,-91.16
iy-120Hz,iy,120,33,impulse-iir,2.182,6.308,-0.111,-38.41,-11.36
iy-120Hz,iy,120,33,impulse-iir-csd,1.892,4.887,-0.399,-36.48,-10.17
iy-120Hz,iy,120,33,impulse-iir-csd-sos,1.752,5.017,-0.202,-37.2,-11.22
iy-120Hz,iy,120,33,meander-sq,3.558,20.363,0.073,-24.39,7.73
iy-120Hz,iy,120,33,meander-tri,3.946,18.281,0.213,-38.14,6.69
iy-120Hz,iy,120,33,cycle-replay,2.23,6.704,-0.068,-37.98,-11.27
iy-120Hz,iy,120,33,cycle-replay-2x,0.536,1.481,-0.017,-51.01,-22.35
iy-120Hz,iy,120,33,cycle-replay-nn,1.246,3.081,-0.013,-28.38,-6.87
iy-180Hz,iy,180,22,osc-bank,0.0,0.0,0.0,-94.56,-97.11
iy-180Hz,iy,180,22,impulse-iir,2.12,6.616,-0.147,-35.86,-11.5
iy-180Hz,iy,180,22,impulse-iir-csd,2.205,6.623,-0.277,-35.4,-11.19
iy-180Hz,iy,180,22,impulse-iir-csd-sos,2.038,5.847,-0.276,-35.3,-11.01
iy-180Hz,iy,180,22,meander-sq,1.159,7.8,0.019,-27.04,3.95
iy-180Hz,iy,180,22,meander-tri,3.991,16.353,0.13,-35.74,4.15
iy-180Hz,iy,180,22,cycle-replay,2.308,6.745,-0.109,-34.95,-10.46
iy-180Hz,iy,180,22,cycle-replay-2x,0.6,1.715,-0.026,-48.75,-22.38
iy-180Hz,iy,180,22,cycle-replay-nn,1.333,8.555,-0.056,-26.43,-4.76
iy-250Hz,iy,250,15,osc-bank,0.0,0.0,0.0,-94.74,-91.68
iy-250Hz,iy,250,15,impulse-iir,1.182,4.972,-0.026,-94.64,-11.12
iy-250Hz,iy,250,15,impulse-iir-csd,3.89,5.716,-0.046,-94.63,-4.19
iy-250Hz,iy,250,15,impulse-iir-csd-sos,0.815,2.227,-0.005,-94.75,1.74
iy-250Hz,iy,250,15,meander-sq,7.561,25.561,-0.47,-94.64,7.26
iy-250Hz,iy,250,15,meander-tri,6.784,20.37,0.128,-94.67,10.04
iy-250Hz,iy,250,15,cycle-replay,0.0,0.0,0.0,-94.69,-269.87
iy-250Hz,iy,250,15,cycle-replay-2x,0.0,0.0,0.0,-94.69,-269.87
iy-250Hz,iy,250,15,cycle-replay-nn,0.0,0.0,0.0,-94.69,-269.87
iy-330Hz,iy,330,12,osc-bank,0.0,0.0,-0.0,-94.75,-97.0
iy-330Hz,iy,330,12,impulse-iir,2.586,6.617,-0.234,-32.51,-8.37
iy-330Hz,iy,330,12,impulse-iir-csd,2.659,6.779,-0.288,-30.91,-6.08
iy-330Hz,iy,330,12,impulse-iir-csd-sos,2.513,6.316,-0.264,-31.98,-6.8
iy-330Hz,iy,330,12,meander-sq,0.184,1.184,-0.0,-22.33,4.5
iy-330Hz,iy,330,12,meander-tri,3.338,18.404,0.104,-30.6,8.21
iy-330Hz,iy,330,12,cycle-replay,2.182,6.283,-0.197,-31.9,-10.62
iy-330Hz,iy,330,12,cycle-replay-2x,0.638,1.775,-0.048,-45.32,-20.81
iy-330Hz,iy,330,12,cycle-replay-nn,1.184,3.065,-0.08,-23.16,-2.39
iy-400Hz,iy,400,9,osc-bank,0.0,0.0,0.0,-94.74,-102.16
iy-400Hz,iy,400,9,impulse-iir,1.131,3.756,-0.031,-94.64,-12.68
iy-400Hz,iy,400,9,impulse-iir-csd,1.088,3.692,-0.03,-94.64,-12.88
iy-400Hz,iy,400,9,impulse-iir-csd-sos,3.078,7.481,-0.2,-94.7,-4.82
iy-400Hz,iy,400,9,meander-sq,3.395,15.339,-0.182,-69.64,-1.63
iy-400Hz,iy,400,9,meander-tri,3.997,14.395,0.463,-94.72,3.02
iy-400Hz,iy,400,9,cycle-replay,0.0,0.0,-0.0,-94.71,-238.38
iy-400Hz,iy,400,9,cycle-replay-2x,0.0,0.0,-0.0,-94.71,-241.31
iy-400Hz,iy,400,9,cycle-replay-nn,0.0,0.0,0.0,-94.71,-273.76
uw-50Hz,uw,50,79,osc-bank,0.0,0.0,0.0,-95.91,-107.69
uw-50Hz,uw,50,79,impulse-iir,0.182,0.412,-0.007,-95.98,-30.99
uw-50Hz,uw,50,79,impulse-iir-csd,9.411,20.697,-7.796,-94.78,7.01
uw-50Hz,uw,50,79,impulse-iir-csd-sos,0.288,0.527,-0.011,-96.02,-27.84
uw-50Hz,uw,50,79,meander-sq,10.101,28.552,-0.11,-96.82,12.74
uw-50Hz,uw,50,79,meander-tri,8.382,27.634,0.537,-96.88,10.47
uw-50Hz,uw,50,79,cycle-replay,0.0,0.0,-0.0,-95.84,-234.67
uw-50Hz,uw,50,79,cycle-replay-2x,0.0,0.0,-0.0,-95.84,-238.91
uw-50Hz,uw,50,79,cycle-replay-nn,0.0,0.0,0.0,-95.79,-103.95
uw-80Hz,uw,80,49,osc-bank,0.0,0.0,0.0,-94.34,-100.06
uw-80Hz,uw,80,49,impulse-iir,0.37,1.196,-0.021,-94.51,-23.27
uw-80Hz,uw,80,49,impulse-iir-csd,4.414,13.944,-0.888,-94.03,-6.84
uw-80Hz,uw,80,49,impulse-iir-csd-sos,0.538,1.48,-0.034,-94.54,-20.49
uw-80Hz,uw,80,49,meander-sq,10.419,25.489,0.155,-59.03,13.03
uw-80Hz,uw,80,49,meander-tri,8.681,27.398,0.404,-94.36,10.44
uw-80Hz,uw,80,49,cycle-replay,0.0,0.0,-0.0,-94.38,-245.95
uw-80Hz,uw,80,49,cycle-replay-2x,0.0,0.0,-0.0,-94.38,-250.17
uw-80Hz,uw,80,49,cycle-replay-nn,0.0,0.0,0.0,-94.38,-265.59
uw-120Hz,uw,120,33,osc-bank,0.0,0.0,-0.0,-94.29,-109.58
uw-120Hz,uw,120,33,impulse-iir,0.905,1.913,-0.12,-48.49,-17.55
uw-120Hz,uw,120,33,impulse-iir-csd,6.934,13.735,-3.157,-0.44,4.66
uw-120Hz,uw,120,33,impulse-iir-csd-sos,1.348,2.66,-0.289,-50.35,-16.35
