set,case,env,f0,L,engine,amp_shape_mean_db,amp_shape_max_db,spur_db,nmr_proxy_db
stress,cf-80Hz,cf,80,49,osc-bank,0.0,0.0,-94.4,-95.54
stress,cf-80Hz,cf,80,49,impulse-iir,0.36,1.589,-94.51,-22.57
stress,cf-80Hz,cf,80,49,impulse-iir-csd-sos,2.448,5.447,-94.75,-8.97
stress,cf-80Hz,cf,80,49,kl-lattice-csd3,0.381,1.709,-94.57,-22.04
stress,cf-80Hz,cf,80,49,lsp-allpass-csd3,3.113,12.11,-93.18,-3.55
stress,cf-80Hz,cf,80,49,svf-csd3,0.607,1.831,-94.55,-20.73
stress,cf-80Hz,cf,80,49,parallel-sos-csd3,1.692,5.402,-94.76,-9.87
stress,cf-120Hz,cf,120,33,osc-bank,0.0,0.0,-94.62,-101.17
stress,cf-120Hz,cf,120,33,impulse-iir,1.192,2.906,-37.3,-12.71
stress,cf-120Hz,cf,120,33,impulse-iir-csd-sos,1.546,4.624,-37.4,-9.01
stress,cf-120Hz,cf,120,33,kl-lattice-csd3,1.434,3.326,-37.07,-11.3
stress,cf-120Hz,cf,120,33,lsp-allpass-csd3,2.909,7.751,-35.27,-5.72
stress,cf-120Hz,cf,120,33,svf-csd3,0.931,3.241,-37.57,-16.04
stress,cf-120Hz,cf,120,33,parallel-sos-csd3,1.282,3.939,-37.37,-11.93
stress,cf-250Hz,cf,250,15,osc-bank,0.0,0.0,-94.73,-93.84
stress,cf-250Hz,cf,250,15,impulse-iir,2.885,7.942,-94.74,-2.16
stress,cf-250Hz,cf,250,15,impulse-iir-csd-sos,1.455,6.058,-94.75,-6.23
stress,cf-250Hz,cf,250,15,kl-lattice-csd3,3.13,7.608,-94.73,-2.08
stress,cf-250Hz,cf,250,15,lsp-allpass-csd3,1.195,5.039,-94.76,-8.45
stress,cf-250Hz,cf,250,15,svf-csd3,3.041,8.27,-94.75,-1.53
stress,cf-250Hz,cf,250,15,parallel-sos-csd3,1.58,5.6,-94.75,-7.2
stress,cf-350Hz,cf,350,11,osc-bank,0.0,0.0,-94.73,-88.6
stress,cf-350Hz,cf,350,11,impulse-iir,2.654,6.796,-42.11,-2.08
stress,cf-350Hz,cf,350,11,impulse-iir-csd-sos,2.609,6.788,-42.57,-2.74
stress,cf-350Hz,cf,350,11,kl-lattice-csd3,2.915,7.744,-40.78,-0.34
stress,cf-350Hz,cf,350,11,lsp-allpass-csd3,3.87,9.679,-42.61,2.74
stress,cf-350Hz,cf,350,11,svf-csd3,3.488,8.88,-42.1,0.86
stress,cf-350Hz,cf,350,11,parallel-sos-csd3,2.919,6.259,-42.87,-3.28
stress,cf-380Hz,cf,380,10,osc-bank,0.0,0.0,-94.76,-92.3
stress,cf-380Hz,cf,380,10,impulse-iir,4.16,11.161,-39.9,3.46
stress,cf-380Hz,cf,380,10,impulse-iir-csd-sos,6.409,16.037,-40.2,9.64
stress,cf-380Hz,cf,380,10,kl-lattice-csd3,4.605,12.654,-38.94,5.39
stress,cf-380Hz,cf,380,10,lsp-allpass-csd3,3.888,10.2,-40.39,1.83
stress,cf-380Hz,cf,380,10,svf-csd3,4.259,10.451,-39.86,2.62
stress,cf-380Hz,cf,380,10,parallel-sos-csd3,9.287,17.874,-40.07,11.52
stress,cf-400Hz,cf,400,9,osc-bank,0.0,0.0,-94.75,-89.87
stress,cf-400Hz,cf,400,9,impulse-iir,4.327,12.432,-94.75,3.4
stress,cf-400Hz,cf,400,9,impulse-iir-csd-sos,3.766,11.717,-94.75,2.27
stress,cf-400Hz,cf,400,9,kl-lattice-csd3,4.155,13.158,-94.76,4.12
stress,cf-400Hz,cf,400,9,lsp-allpass-csd3,6.075,14.258,-94.74,5.76
stress,cf-400Hz,cf,400,9,svf-csd3,4.515,12.458,-94.76,3.4
stress,cf-400Hz,cf,400,9,parallel-sos-csd3,4.144,11.161,-94.75,1.62
stress,nf-80Hz,nf,80,49,osc-bank,0.0,0.0,-94.35,-90.32
stress,nf-80Hz,nf,80,49,impulse-iir,0.353,1.586,-94.65,-23.94
stress,nf-80Hz,nf,80,49,impulse-iir-csd-sos,0.712,1.429,-94.51,-20.67
stress,nf-80Hz,nf,80,49,kl-lattice-csd3,0.431,1.694,-94.64,-23.11
stress,nf-80Hz,nf,80,49,lsp-allpass-csd3,0.42,2.877,-94.76,-19.68
stress,nf-80Hz,nf,80,49,svf-csd3,0.459,3.358,-94.69,-21.2
stress,nf-80Hz,nf,80,49,parallel-sos-csd3,0.541,1.331,-94.51,-22.26
stress,nf-120Hz,nf,120,33,osc-bank,0.0,0.0,-94.47,-91.9
stress,nf-120Hz,nf,120,33,impulse-iir,2.055,5.64,-40.99,-13.36
stress,nf-120Hz,nf,120,33,impulse-iir-csd-sos,1.73,5.134,-40.37,-14.17
