case,form,sd_rms_db,sd_max_db
aa-50Hz,lsp-pair-mid,3.76,9.06
aa-50Hz,lsp-pair-g0.97,5.97,16.26
aa-80Hz,lsp-pair-mid,3.69,9.81
aa-80Hz,lsp-pair-g0.97,5.93,15.59
aa-120Hz,lsp-pair-mid,3.69,9.93
aa-120Hz,lsp-pair-g0.97,6.14,15.94
aa-180Hz,lsp-pair-mid,3.61,9.34
aa-180Hz,lsp-pair-g0.97,6.02,14.8
aa-250Hz,lsp-pair-mid,3.47,6.63
aa-250Hz,lsp-pair-g0.97,6.27,14.35
aa-330Hz,lsp-pair-mid,2.61,4.48
aa-330Hz,lsp-pair-g0.97,3.71,6.56
aa-400Hz,lsp-pair-mid,2.97,5.17
aa-400Hz,lsp-pair-g0.97,4.79,10.03
iy-50Hz,lsp-pair-mid,3.67,9.66
iy-50Hz,lsp-pair-g0.97,6.41,15.28
iy-80Hz,lsp-pair-mid,3.6,9.59
iy-80Hz,lsp-pair-g0.97,6.28,14.49
iy-120Hz,lsp-pair-mid,3.59,9.12
iy-120Hz,lsp-pair-g0.97,6.05,12.33
iy-180Hz,lsp-pair-mid,3.45,8.71
iy-180Hz,lsp-pair-g0.97,5.28,10.14
iy-250Hz,lsp-pair-mid,3.72,8.62
iy-250Hz,lsp-pair-g0.97,4.86,9.07
iy-330Hz,lsp-pair-mid,3.27,7.02
iy-330Hz,lsp-pair-g0.97,3.92,7.04
iy-400Hz,lsp-pair-mid,2.73,5.63
iy-400Hz,lsp-pair-g0.97,6.48,10.05
uw-50Hz,lsp-pair-mid,3.8,9.57
uw-50Hz,lsp-pair-g0.97,6.36,18.01
uw-80Hz,lsp-pair-mid,3.85,9.69
uw-80Hz,lsp-pair-g0.97,6.32,17.11
uw-120Hz,lsp-pair-mid,3.62,8.17
uw-120Hz,lsp-pair-g0.97,6.11,16.86
uw-180Hz,lsp-pair-mid,3.72,8.17
uw-180Hz,lsp-pair-g0.97,5.72,15.37
uw-250Hz,lsp-pair-mid,3.31,7.67
uw-250Hz,lsp-pair-g0.97,4.79,10.32
uw-330Hz,lsp-pair-mid,3.04,6.51
uw-330Hz,lsp-pair-g0.97,7.14,15.33
uw-400Hz,lsp-pair-mid,2.75,4.61
uw-400Hz,lsp-pair-g0.97,6.28,13.91
cf-50Hz,lsp-pair-mid,4.07,12.02
cf-50Hz,lsp-pair-g0.97,6.33,15.71
cf-80Hz,lsp-pair-mid,4.15,12.39
cf-80Hz,lsp-pair-g0.97,6.34,16.39
cf-120Hz,lsp-pair-mid,3.6,8.3
cf-120Hz,lsp-pair-g0.97,5.97,14.2
cf-180Hz,lsp-pair-mid,3.08,6.33
cf-180Hz,lsp-pair-g0.97,5.41,13.68
cf-250Hz,lsp-pair-mid,2.91,5.96
cf-250Hz,lsp-pair-g0.97,5.79,13.66
cf-330Hz,lsp-pair-mid,2.92,4.87
cf-330Hz,lsp-pair-g0.97,5.67,13.56
cf-400Hz,lsp-pair-mid,3.4,7.68
cf-400Hz,lsp-pair-g0.97,7.17,17.79
nf-50Hz,lsp-pair-mid,4.33,17.48
nf-50Hz,lsp-pair-g0.97,6.67,17.24
nf-80Hz,lsp-pair-mid,3.94,12.46
nf-80Hz,lsp-pair-g0.97,6.54,17.31
nf-120Hz,lsp-pair-mid,3.82,12.15
nf-120Hz,lsp-pair-g0.97,6.16,16.58
nf-180Hz,lsp-pair-mid,3.61,11.34
nf-180Hz,lsp-pair-g0.97,5.09,10.98
nf-250Hz,lsp-pair-mid,2.99,7.52
nf-250Hz,lsp-pair-g0.97,5.24,9.48
nf-330Hz,lsp-pair-mid,2.85,5.44
nf-330Hz,lsp-pair-g0.97,4.89,12.88
nf-400Hz,lsp-pair-mid,1.89,4.84
nf-400Hz,lsp-pair-g0.97,4.19,8.61
nfhi-50Hz,lsp-pair-mid,3.49,9.83
nfhi-50Hz,lsp-pair-g0.97,6.78,20.44
nfhi-80Hz,lsp-pair-mid,3.55,9.76
nfhi-80Hz,lsp-pair-g0.97,6.75,18.44
nfhi-120Hz,lsp-pair-mid,3.63,9.28
nfhi-120Hz,lsp-pair-g0.97,6.55,17.41
nfhi-180Hz,lsp-pair-mid,3.73,9.04
nfhi-180Hz,lsp-pair-g0.97,6.29,16.89
nfhi-250Hz,lsp-pair-mid,2.97,6.37
nfhi-250Hz,lsp-pair-g0.97,6.22,13.74
nfhi-330Hz,lsp-pair-mid,2.98,6.78
nfhi-330Hz,lsp-pair-g0.97,6.96,18.01
nfhi-400Hz,lsp-pair-mid,3.18,5.22
nfhi-400Hz,lsp-pair-g0.97,7.23,14.28
