case,level_db,mode,snr_db,idle_rms_lsb,idle_peak_lsb,idle_tone_db,idle_tone_hz,idle_sfm_db
aa-120,-12.0,trunc,51.0,18.05,60.0,61.0,1137.0,-35.3
aa-120,-12.0,round,51.3,18.36,27.0,158.6,1143.0,-124.6
aa-120,-12.0,dither,47.4,31.65,109.0,48.7,728.0,-22.6
aa-120,-12.0,trunc-g8,98.4,0.1,0.2,124.3,667.0,-91.3
aa-120,-12.0,round-g8,98.8,0.07,0.1,151.4,1143.0,-117.6
aa-120,-48.0,trunc,14.4,23.17,53.0,98.4,667.0,-65.7
aa-120,-48.0,round,16.3,9.66,27.0,123.6,1143.0,-90.6
aa-120,-48.0,dither,11.3,31.65,109.0,48.7,728.0,-22.6
aa-120,-48.0,trunc-g8,65.0,0.09,0.2,98.4,667.0,-65.7
aa-120,-48.0,round-g8,63.8,0.04,0.1,108.7,1112.0,-75.4
iy-120,-12.0,trunc,31.9,265.24,298.0,147.1,222.0,-109.2
iy-120,-12.0,round,35.7,55.69,106.0,134.7,258.0,-98.5
iy-120,-12.0,dither,34.7,87.2,325.0,55.8,333.0,-31.6
iy-120,-12.0,trunc-g8,80.5,1.1,1.2,168.3,333.0,-131.1
iy-120,-12.0,round-g8,87.3,0.16,0.3,142.9,382.0,-107.0
iy-120,-48.0,trunc,-7.5,269.37,302.0,168.0,400.0,-132.5
iy-120,-48.0,round,5.1,41.37,72.0,143.1,382.0,-107.0
iy-120,-48.0,dither,0.2,90.02,374.0,56.5,333.0,-31.6
iy-120,-48.0,trunc-g8,43.1,1.04,1.2,131.5,428.0,-96.2
iy-120,-48.0,round-g8,48.9,0.22,0.4,135.0,258.0,-98.6
nf-120,-12.0,trunc,37.9,79.2,100.0,162.0,615.0,-124.4
nf-120,-12.0,round,43.1,30.33,70.0,96.6,500.0,-67.0
nf-120,-12.0,dither,41.1,49.08,189.0,50.3,435.0,-27.4
nf-120,-12.0,trunc-g8,85.9,0.55,0.6,156.3,667.0,-121.7
nf-120,-12.0,round-g8,92.6,0.13,0.3,68.4,472.0,-41.7
nf-120,-48.0,trunc,0.5,139.62,149.0,158.4,667.0,-121.1
nf-120,-48.0,round,7.1,30.23,70.0,96.7,500.0,-66.9
nf-120,-48.0,dither,5.2,48.65,177.0,51.9,437.0,-27.2
nf-120,-48.0,trunc-g8,50.5,0.31,0.4,161.7,615.0,-124.5
nf-120,-48.0,round-g8,57.1,0.12,0.3,96.7,500.0,-66.8
nf-80,-12.0,trunc,43.7,47.87,102.0,105.7,382.0,-72.9
nf-80,-12.0,round,48.2,23.15,63.0,83.4,523.0,-53.1
nf-80,-12.0,dither,43.9,51.76,172.0,56.4,510.0,-27.6
nf-80,-12.0,trunc-g8,90.0,0.19,0.4,105.8,382.0,-72.9
nf-80,-12.0,round-g8,95.9,0.14,0.3,120.8,505.0,-84.8
nf-80,-48.0,trunc,6.1,40.78,68.0,142.4,1523.0,-109.0
nf-80,-48.0,round,11.9,44.65,91.0,87.5,505.0,-57.6
nf-80,-48.0,dither,7.9,51.76,172.0,56.4,510.0,-27.6
nf-80,-48.0,trunc-g8,55.0,0.19,0.4,105.6,382.0,-72.7
nf-80,-48.0,round-g8,60.3,0.09,0.2,83.1,523.0,-53.1
uw-80,-12.0,trunc,38.2,138.96,259.0,155.5,277.0,-118.7
uw-80,-12.0,round,35.0,118.25,242.0,120.2,327.0,-83.3
uw-80,-12.0,dither,32.7,148.7,487.0,64.1,335.0,-34.0
uw-80,-12.0,trunc-g8,84.5,0.47,0.7,159.5,445.0,-120.9
uw-80,-12.0,round-g8,81.1,0.38,0.8,150.2,250.0,-110.3
uw-80,-48.0,trunc,1.6,120.35,167.0,159.6,445.0,-121.3
uw-80,-48.0,round,4.2,104.32,203.0,96.0,417.0,-66.5
uw-80,-48.0,dither,-1.5,148.89,487.0,64.1,335.0,-34.0
uw-80,-48.0,trunc-g8,50.0,0.47,0.7,159.0,445.0,-120.8
uw-80,-48.0,round-g8,46.4,0.39,0.9,68.3,917.0,-46.8
