engine,lsd_db_mean,lsd_db_max,click_ratio_mean
osc-bank,4.09,5.43,2.66
impulse-iir,5.67,6.89,2.77
impulse-iir-csd-sos,5.91,7.33,2.74
meander-sq,8.53,16.89,4.88
meander-tri,8.43,16.98,3.21
cycle-replay,4.64,5.83,2.46
cycle-replay-2x,3.88,5.45,2.63
meander-sq-bl-exact,5.14,8.99,3.94
meander-tri-bl-exact,5.14,9.01,3.85
meander-sq-mip-table,6.25,13.42,3.73
meander-sq-mip-lin,5.13,8.96,3.88
meander-sq-blep,5.57,9.68,4.24
cr-rt-full,5.12,9.18,2.82
cr-rt-inc,5.12,9.13,2.81
cr-rt-inc-1db,5.15,9.23,2.82
cr-rt-inc-m2,5.12,7.64,2.81
cr-rt-nn,5.66,10.3,2.87
kl-lattice-csd3,5.69,6.84,2.79
lsp-allpass-csd3,5.75,7.02,2.74
lsp-allpass-csd2,7.15,10.35,2.63
svf-csd3,6.09,7.39,3.83
svf-csd2,7.1,8.81,2.49
parallel-sos-csd3,6.79,9.56,4.23
parallel-sos-noise,7.73,10.07,4.0
ks-period-iir,5.84,9.02,2.72
