set,case,env,f0,L,engine,amp_shape_mean_db,amp_shape_max_db,spur_db,nmr_proxy_db
std,aa-50Hz,aa,50,79,cr-rt-full,0.132,1.482,-97.03,-33.77
std,aa-50Hz,aa,50,79,cr-rt-inc,0.132,1.482,-97.03,-33.77
std,aa-50Hz,aa,50,79,cr-rt-inc-1db,0.132,1.482,-97.03,-33.77
std,aa-50Hz,aa,50,79,cr-rt-inc-m2,0.132,1.482,-97.03,-33.77
std,aa-50Hz,aa,50,79,cr-rt-nn,1.907,10.88,-96.96,-5.5
std,aa-80Hz,aa,80,49,cr-rt-full,0.23,2.152,-94.57,-28.89
std,aa-80Hz,aa,80,49,cr-rt-inc,0.23,2.152,-94.57,-28.89
std,aa-80Hz,aa,80,49,cr-rt-inc-1db,0.23,2.152,-94.57,-28.89
std,aa-80Hz,aa,80,49,cr-rt-inc-m2,0.23,2.152,-94.57,-28.89
std,aa-80Hz,aa,80,49,cr-rt-nn,5.736,23.678,-94.58,3.58
std,aa-120Hz,aa,120,33,cr-rt-full,0.101,0.852,-63.19,-32.47
std,aa-120Hz,aa,120,33,cr-rt-inc,0.101,0.852,-63.19,-32.47
std,aa-120Hz,aa,120,33,cr-rt-inc-1db,0.101,0.852,-63.19,-32.47
std,aa-120Hz,aa,120,33,cr-rt-inc-m2,0.101,0.852,-63.19,-32.47
std,aa-120Hz,aa,120,33,cr-rt-nn,1.904,18.122,-32.41,-0.14
std,aa-180Hz,aa,180,22,cr-rt-full,0.159,0.465,-58.07,-26.15
std,aa-180Hz,aa,180,22,cr-rt-inc,0.159,0.465,-58.07,-26.15
std,aa-180Hz,aa,180,22,cr-rt-inc-1db,0.159,0.465,-58.07,-26.15
std,aa-180Hz,aa,180,22,cr-rt-inc-m2,0.159,0.465,-58.07,-26.15
std,aa-180Hz,aa,180,22,cr-rt-nn,1.037,6.361,-29.86,2.9
std,aa-250Hz,aa,250,15,cr-rt-full,0.0,0.0,-94.67,-257.94
std,aa-250Hz,aa,250,15,cr-rt-inc,0.0,0.0,-94.67,-257.94
std,aa-250Hz,aa,250,15,cr-rt-inc-1db,0.0,0.0,-94.67,-257.94
std,aa-250Hz,aa,250,15,cr-rt-inc-m2,0.0,0.0,-94.67,-257.94
std,aa-250Hz,aa,250,15,cr-rt-nn,0.0,0.0,-94.67,-257.94
std,aa-330Hz,aa,330,12,cr-rt-full,0.24,0.664,-55.49,-24.71
std,aa-330Hz,aa,330,12,cr-rt-inc,0.24,0.664,-55.49,-24.71
std,aa-330Hz,aa,330,12,cr-rt-inc-1db,0.24,0.664,-55.49,-24.71
std,aa-330Hz,aa,330,12,cr-rt-inc-m2,0.24,0.664,-55.49,-24.71
std,aa-330Hz,aa,330,12,cr-rt-nn,0.12,0.332,-29.33,3.3
std,aa-400Hz,aa,400,9,cr-rt-full,0.106,0.61,-94.76,-36.29
std,aa-400Hz,aa,400,9,cr-rt-inc,0.106,0.61,-94.76,-36.29
std,aa-400Hz,aa,400,9,cr-rt-inc-1db,0.106,0.61,-94.76,-36.29
std,aa-400Hz,aa,400,9,cr-rt-inc-m2,0.106,0.61,-94.76,-36.29
std,aa-400Hz,aa,400,9,cr-rt-nn,2.039,6.119,-94.76,-10.46
std,iy-50Hz,iy,50,79,cr-rt-full,0.294,1.591,-95.59,-29.32
std,iy-50Hz,iy,50,79,cr-rt-inc,0.294,1.591,-95.59,-29.32
std,iy-50Hz,iy,50,79,cr-rt-inc-1db,0.294,1.591,-95.59,-29.32
std,iy-50Hz,iy,50,79,cr-rt-inc-m2,0.294,1.591,-95.59,-29.32
std,iy-50Hz,iy,50,79,cr-rt-nn,1.953,12.305,-95.59,-10.87
std,iy-80Hz,iy,80,49,cr-rt-full,0.392,0.848,-94.51,-26.67
std,iy-80Hz,iy,80,49,cr-rt-inc,0.392,0.848,-94.51,-26.67
std,iy-80Hz,iy,80,49,cr-rt-inc-1db,0.392,0.848,-94.51,-26.67
std,iy-80Hz,iy,80,49,cr-rt-inc-m2,0.392,0.848,-94.51,-26.67
std,iy-80Hz,iy,80,49,cr-rt-nn,1.67,12.805,-94.51,-10.98
std,iy-120Hz,iy,120,33,cr-rt-full,0.186,1.069,-64.14,-31.02
std,iy-120Hz,iy,120,33,cr-rt-inc,0.186,1.069,-64.14,-31.02
std,iy-120Hz,iy,120,33,cr-rt-inc-1db,0.186,1.069,-64.14,-31.02
std,iy-120Hz,iy,120,33,cr-rt-inc-m2,0.186,1.069,-64.14,-31.02
std,iy-120Hz,iy,120,33,cr-rt-nn,0.824,5.304,-41.96,-9.6
std,iy-180Hz,iy,180,22,cr-rt-full,0.291,0.831,-55.65,-26.17
std,iy-180Hz,iy,180,22,cr-rt-inc,0.291,0.831,-55.65,-26.17
std,iy-180Hz,iy,180,22,cr-rt-inc-1db,0.291,0.831,-55.65,-26.17
std,iy-180Hz,iy,180,22,cr-rt-inc-m2,0.291,0.831,-55.65,-26.17
std,iy-180Hz,iy,180,22,cr-rt-nn,0.231,1.354,-36.84,-8.39
std,iy-250Hz,iy,250,15,cr-rt-full,0.0,0.0,-94.69,-270.08
std,iy-250Hz,iy,250,15,cr-rt-inc,0.0,0.0,-94.69,-270.08
std,iy-250Hz,iy,250,15,cr-rt-inc-1db,0.0,0.0,-94.69,-270.08
std,iy-250Hz,iy,250,15,cr-rt-inc-m2,0.0,0.0,-94.69,-270.08
std,iy-250Hz,iy,250,15,cr-rt-nn,0.0,0.0,-94.69,-270.08
std,iy-330Hz,iy,330,12,cr-rt-full,0.356,0.988,-50.76,-26.16
std,iy-330Hz,iy,330,12,cr-rt-inc,0.356,0.988,-50.76,-26.16
std,iy-330Hz,iy,330,12,cr-rt-inc-1db,0.356,0.988,-50.76,-26.16
std,iy-330Hz,iy,330,12,cr-rt-inc-m2,0.356,0.988,-50.76,-26.16
std,iy-330Hz,iy,330,12,cr-rt-nn,0.178,0.494,-32.4,-7.2
std,iy-400Hz,iy,400,9,cr-rt-full,0.221,0.548,-94.71,-30.03
std,iy-400Hz,iy,400,9,cr-rt-inc,0.221,0.548,-94.71,-30.03
std,iy-400Hz,iy,400,9,cr-rt-inc-1db,0.221,0.548,-94.71,-30.03
std,iy-400Hz,iy,400,9,cr-rt-inc-m2,0.221,0.548,-94.71,-30.03
std,iy-400Hz,iy,400,9,cr-rt-nn,1.214,4.135,-94.71,-14.44
std,uw-50Hz,uw,50,79,cr-rt-full,0.071,0.349,-95.84,-42.52
std,uw-50Hz,uw,50,79,cr-rt-inc,0.071,0.349,-95.84,-42.28
std,uw-50Hz,uw,50,79,cr-rt-inc-1db,0.071,0.349,-95.84,-42.01
std,uw-50Hz,uw,50,79,cr-rt-inc-m2,0.071,0.349,-95.84,-42.28
std,uw-50Hz,uw,50,79,cr-rt-nn,3.458,16.647,-95.84,-5.44
std,uw-80Hz,uw,80,49,cr-rt-full,0.062,0.242,-94.38,-37.4
std,uw-80Hz,uw,80,49,cr-rt-inc,0.062,0.24,-94.38,-37.39
std,uw-80Hz,uw,80,49,cr-rt-inc-1db,0.062,0.24,-94.38,-37.32
std,uw-80Hz,uw,80,49,cr-rt-inc-m2,0.062,0.24,-94.38,-37.39
std,uw-80Hz,uw,80,49,cr-rt-nn,2.817,18.105,-94.38,-3.22
