set,case,env,f0,L,engine,amp_shape_mean_db,amp_shape_max_db,spur_db,nmr_proxy_db
std,aa-50Hz,aa,50,79,osc-bank,0.0,0.0,-97.17,-88.58
std,aa-50Hz,aa,50,79,impulse-iir,0.146,0.308,-97.17,-33.8
std,aa-50Hz,aa,50,79,impulse-iir-csd-sos,0.315,1.188,-96.72,-24.72
std,aa-50Hz,aa,50,79,meander-sq,10.423,42.314,-97.96,17.52
std,aa-50Hz,aa,50,79,meander-tri,8.272,40.929,-98.22,15.68
std,aa-50Hz,aa,50,79,cycle-replay,0.0,0.0,-97.03,-227.09
std,aa-50Hz,aa,50,79,cycle-replay-2x,0.0,0.0,-97.03,-231.02
std,aa-50Hz,aa,50,79,meander-sq-bl-exact,0.0,0.0,-97.31,-80.64
std,aa-50Hz,aa,50,79,meander-tri-bl-exact,0.0,0.0,-97.31,-80.64
std,aa-50Hz,aa,50,79,meander-sq-mip-table,2.316,23.042,-97.39,-4.38
std,aa-50Hz,aa,50,79,meander-sq-mip-lin,0.671,5.695,-97.31,-23.95
std,aa-50Hz,aa,50,79,meander-sq-blep,3.845,28.089,-97.35,0.05
std,aa-50Hz,aa,50,79,cr-rt-full,0.132,1.482,-97.03,-33.77
std,aa-50Hz,aa,50,79,cr-rt-inc,0.132,1.482,-97.03,-33.77
std,aa-50Hz,aa,50,79,cr-rt-inc-1db,0.132,1.482,-97.03,-33.77
std,aa-50Hz,aa,50,79,cr-rt-inc-m2,0.132,1.482,-97.03,-33.77
std,aa-50Hz,aa,50,79,cr-rt-nn,1.907,10.88,-96.96,-5.5
std,aa-50Hz,aa,50,79,kl-lattice-csd3,0.286,0.812,-96.92,-28.03
std,aa-50Hz,aa,50,79,lsp-allpass-csd3,1.058,2.966,-97.57,-17.78
std,aa-50Hz,aa,50,79,lsp-allpass-csd2,3.486,27.611,-93.79,-1.16
std,aa-50Hz,aa,50,79,svf-csd3,1.104,4.89,-96.73,-14.84
std,aa-50Hz,aa,50,79,svf-csd2,4.132,13.929,-96.43,-7.89
std,aa-50Hz,aa,50,79,parallel-sos-csd3,0.419,1.286,-96.73,-26.53
std,aa-50Hz,aa,50,79,parallel-sos-noise,2.623,12.536,-38.23,-6.22
std,aa-50Hz,aa,50,79,ks-period-iir,0.146,0.308,-97.17,-33.8
std,aa-80Hz,aa,80,49,osc-bank,0.0,0.0,-94.51,-89.55
std,aa-80Hz,aa,80,49,impulse-iir,0.269,0.553,-94.58,-28.55
std,aa-80Hz,aa,80,49,impulse-iir-csd-sos,0.537,1.771,-94.76,-21.48
std,aa-80Hz,aa,80,49,meander-sq,10.188,38.443,-56.99,15.79
std,aa-80Hz,aa,80,49,meander-tri,8.32,39.206,-94.79,15.65
std,aa-80Hz,aa,80,49,cycle-replay,0.0,0.0,-94.57,-238.23
std,aa-80Hz,aa,80,49,cycle-replay-2x,0.0,0.0,-94.57,-242.06
std,aa-80Hz,aa,80,49,meander-sq-bl-exact,0.0,0.0,-94.41,-82.71
std,aa-80Hz,aa,80,49,meander-tri-bl-exact,0.0,0.0,-94.41,-82.71
std,aa-80Hz,aa,80,49,meander-sq-mip-table,4.148,24.029,-81.63,-1.21
std,aa-80Hz,aa,80,49,meander-sq-mip-lin,0.974,13.495,-94.42,-22.17
std,aa-80Hz,aa,80,49,meander-sq-blep,3.511,25.387,-94.44,-0.73
std,aa-80Hz,aa,80,49,cr-rt-full,0.23,2.152,-94.57,-28.89
std,aa-80Hz,aa,80,49,cr-rt-inc,0.23,2.152,-94.57,-28.89
std,aa-80Hz,aa,80,49,cr-rt-inc-1db,0.23,2.152,-94.57,-28.89
std,aa-80Hz,aa,80,49,cr-rt-inc-m2,0.23,2.152,-94.57,-28.89
std,aa-80Hz,aa,80,49,cr-rt-nn,5.736,23.678,-94.58,3.58
std,aa-80Hz,aa,80,49,kl-lattice-csd3,0.289,0.795,-94.62,-28.53
std,aa-80Hz,aa,80,49,lsp-allpass-csd3,1.404,3.344,-94.56,-16.73
std,aa-80Hz,aa,80,49,lsp-allpass-csd2,3.607,24.786,-93.49,-1.45
std,aa-80Hz,aa,80,49,svf-csd3,1.133,4.982,-94.66,-14.6
std,aa-80Hz,aa,80,49,svf-csd2,4.205,14.381,-94.51,-7.89
std,aa-80Hz,aa,80,49,parallel-sos-csd3,0.561,1.72,-94.77,-22.33
std,aa-80Hz,aa,80,49,parallel-sos-noise,3.029,14.265,-41.12,-6.13
