engine,click_ratio,max_jump_over_rms
reference,2.4,2.545
osc-bank,1.98,2.24
impulse-iir,2.11,2.503
impulse-iir-csd-sos,2.11,2.508
meander-sq,2.66,3.141
meander-tri,1.81,2.462
cycle-replay,2.09,2.291
cycle-replay-2x,2.15,2.377
meander-sq-bl-exact,1.92,2.256
meander-tri-bl-exact,1.92,2.256
meander-sq-mip-table,1.95,2.304
meander-sq-mip-lin,1.9,2.231
meander-sq-blep,2.09,2.432
cr-rt-full,2.18,2.405
cr-rt-inc,2.18,2.436
cr-rt-inc-1db,2.13,2.397
cr-rt-inc-m2,2.19,2.417
cr-rt-nn,2.05,2.299
kl-lattice-csd3,2.1,2.461
lsp-allpass-csd3,2.04,2.499
lsp-allpass-csd2,1.75,2.013
svf-csd3,1.97,2.304
svf-csd2,1.81,2.181
parallel-sos-csd3,2.59,3.136
parallel-sos-noise,2.57,3.065
ks-period-iir,2.11,2.497
