set,case,form,terms,sd_rms_db,sd_max_db,unstable_before_fixup,note
std,aa-50Hz,sos,2,3.43,10.876,0,
std,aa-50Hz,sos,3,0.381,1.163,0,
std,aa-50Hz,sos,4,0.057,0.261,0,
std,aa-50Hz,lattice,2,1.522,5.484,0,kclamp=0
std,aa-50Hz,lattice,3,0.26,1.05,0,kclamp=0
std,aa-50Hz,lattice,4,0.07,0.275,0,kclamp=0
std,aa-50Hz,svf,1,11.811,36.513,0,
std,aa-50Hz,svf,2,4.495,10.119,0,
std,aa-50Hz,svf,3,1.561,4.486,0,
std,aa-50Hz,lsp-allpass,2,3.873,25.062,0,order_fixes=1
std,aa-50Hz,lsp-allpass,3,0.818,3.499,0,order_fixes=0
std,aa-50Hz,parallel,3,1.166,3.496,0,
std,aa-50Hz,parallel,4,0.244,0.773,0,
std,aa-80Hz,sos,2,3.265,12.137,0,
std,aa-80Hz,sos,3,0.376,1.215,0,
std,aa-80Hz,sos,4,0.037,0.113,0,
std,aa-80Hz,lattice,2,1.628,6.342,0,kclamp=0
std,aa-80Hz,lattice,3,0.236,0.757,0,kclamp=0
std,aa-80Hz,lattice,4,0.025,0.081,0,kclamp=0
std,aa-80Hz,svf,1,11.812,36.967,0,
std,aa-80Hz,svf,2,4.655,10.296,0,
std,aa-80Hz,svf,3,1.588,4.471,0,
std,aa-80Hz,lsp-allpass,2,3.972,21.787,0,order_fixes=1
std,aa-80Hz,lsp-allpass,3,0.894,3.608,0,order_fixes=0
std,aa-80Hz,parallel,3,1.108,3.167,0,
std,aa-80Hz,parallel,4,1.096,3.278,0,
std,aa-120Hz,sos,2,3.681,11.375,0,
std,aa-120Hz,sos,3,0.423,1.05,0,
std,aa-120Hz,sos,4,0.058,0.164,0,
std,aa-120Hz,lattice,2,1.589,5.224,0,kclamp=0
std,aa-120Hz,lattice,3,0.147,0.659,0,kclamp=0
std,aa-120Hz,lattice,4,0.035,0.08,0,kclamp=0
std,aa-120Hz,svf,1,11.58,31.975,0,
std,aa-120Hz,svf,2,4.367,9.174,0,
std,aa-120Hz,svf,3,1.144,3.046,0,
std,aa-120Hz,lsp-allpass,2,2.794,7.943,0,order_fixes=1
std,aa-120Hz,lsp-allpass,3,0.989,3.805,0,order_fixes=0
std,aa-120Hz,parallel,3,0.349,0.813,0,
std,aa-120Hz,parallel,4,0.135,0.266,0,
std,aa-180Hz,sos,2,4.05,10.573,0,
std,aa-180Hz,sos,3,0.282,0.739,0,
std,aa-180Hz,sos,4,0.056,0.117,0,
std,aa-180Hz,lattice,2,1.751,6.594,0,kclamp=0
std,aa-180Hz,lattice,3,0.291,0.72,0,kclamp=0
std,aa-180Hz,lattice,4,0.035,0.078,0,kclamp=0
std,aa-180Hz,svf,1,10.605,29.259,0,
std,aa-180Hz,svf,2,4.111,8.254,0,
std,aa-180Hz,svf,3,0.699,1.897,0,
std,aa-180Hz,lsp-allpass,2,2.22,5.534,0,order_fixes=1
std,aa-180Hz,lsp-allpass,3,1.041,3.343,0,order_fixes=0
std,aa-180Hz,parallel,3,0.4,1.107,0,
std,aa-180Hz,parallel,4,0.639,1.554,0,
std,aa-250Hz,sos,2,0.934,1.59,0,
std,aa-250Hz,sos,3,0.429,0.881,0,
std,aa-250Hz,sos,4,0.056,0.123,0,
std,aa-250Hz,lattice,2,2.751,7.717,0,kclamp=0
std,aa-250Hz,lattice,3,0.164,0.438,0,kclamp=0
std,aa-250Hz,lattice,4,0.023,0.069,0,kclamp=0
std,aa-250Hz,svf,1,11.901,23.181,0,
std,aa-250Hz,svf,2,4.364,9.262,0,
std,aa-250Hz,svf,3,0.976,2.114,0,
std,aa-250Hz,lsp-allpass,2,3.489,10.828,0,order_fixes=1
std,aa-250Hz,lsp-allpass,3,0.484,1.666,0,order_fixes=0
std,aa-250Hz,parallel,3,1.517,4.362,0,
std,aa-250Hz,parallel,4,0.223,0.472,0,
std,aa-330Hz,sos,2,1.35,3.919,0,
std,aa-330Hz,sos,3,0.399,1.03,0,
std,aa-330Hz,sos,4,0.031,0.064,0,
std,aa-330Hz,lattice,2,1.822,5.061,0,kclamp=0
std,aa-330Hz,lattice,3,0.37,0.98,0,kclamp=0
std,aa-330Hz,lattice,4,0.141,0.326,0,kclamp=0
std,aa-330Hz,svf,1,14.332,29.814,0,
std,aa-330Hz,svf,2,2.345,4.433,0,
std,aa-330Hz,svf,3,0.256,0.511,0,
std,aa-330Hz,lsp-allpass,2,4.717,14.934,0,order_fixes=1
std,aa-330Hz,lsp-allpass,3,0.672,2.084,0,order_fixes=0
std,aa-330Hz,parallel,3,5.392,17.648,0,
std,aa-330Hz,parallel,4,1.309,4.042,0,
std,aa-400Hz,sos,2,1.049,1.573,0,
std,aa-400Hz,sos,3,0.415,1.004,0,
std,aa-400Hz,sos,4,0.093,0.181,0,
std,aa-400Hz,lattice,2,2.123,4.047,0,kclamp=0
std,aa-400Hz,lattice,3,0.189,0.46,0,kclamp=0
std,aa-400Hz,lattice,4,0.075,0.14,0,kclamp=0
std,aa-400Hz,svf,1,11.166,18.385,0,
std,aa-400Hz,svf,2,3.127,5.858,0,
std,aa-400Hz,svf,3,1.478,3.194,0,
std,aa-400Hz,lsp-allpass,2,2.078,4.83,0,order_fixes=1
std,aa-400Hz,lsp-allpass,3,0.28,0.628,0,order_fixes=0
std,aa-400Hz,parallel,3,0.368,0.69,0,
std,aa-400Hz,parallel,4,0.12,0.333,0,
std,iy-50Hz,sos,2,2.514,8.486,0,
std,iy-50Hz,sos,3,0.67,2.304,0,
std,iy-50Hz,sos,4,0.233,0.705,0,
std,iy-50Hz,lattice,2,0.826,3.019,0,kclamp=0
std,iy-50Hz,lattice,3,0.217,0.73,0,kclamp=0
std,iy-50Hz,lattice,4,0.055,0.162,0,kclamp=0
std,iy-50Hz,svf,1,25.463,59.825,0,
std,iy-50Hz,svf,2,3.968,10.776,0,
std,iy-50Hz,svf,3,0.841,2.5,0,
std,iy-50Hz,lsp-allpass,2,2.41,13.527,0,order_fixes=1
std,iy-50Hz,lsp-allpass,3,0.558,1.732,0,order_fixes=0
std,iy-50Hz,parallel,3,0.662,2.364,0,
std,iy-50Hz,parallel,4,0.241,0.706,0,
std,iy-80Hz,sos,2,2.168,5.536,0,
std,iy-80Hz,sos,3,0.502,1.465,0,
std,iy-80Hz,sos,4,0.159,0.441,0,
std,iy-80Hz,lattice,2,0.67,2.427,0,kclamp=0
std,iy-80Hz,lattice,3,0.098,0.243,0,kclamp=0
std,iy-80Hz,lattice,4,0.025,0.078,0,kclamp=0
std,iy-80Hz,svf,1,32.087,66.815,0,
std,iy-80Hz,svf,2,2.59,8.07,0,
std,iy-80Hz,svf,3,0.806,2.674,0,
std,iy-80Hz,lsp-allpass,2,2.084,8.622,0,order_fixes=1
std,iy-80Hz,lsp-allpass,3,0.545,1.471,0,order_fixes=0
std,iy-80Hz,parallel,3,0.432,1.62,0,
std,iy-80Hz,parallel,4,0.156,0.361,0,
std,iy-120Hz,sos,2,2.787,8.443,0,
std,iy-120Hz,sos,3,0.578,1.431,0,
std,iy-120Hz,sos,4,0.238,0.892,0,
std,iy-120Hz,lattice,2,0.515,1.584,0,kclamp=0
std,iy-120Hz,lattice,3,0.143,0.506,0,kclamp=0
std,iy-120Hz,lattice,4,0.03,0.099,0,kclamp=0
std,iy-120Hz,svf,1,31.783,63.498,0,
std,iy-120Hz,svf,2,3.278,7.294,0,
std,iy-120Hz,svf,3,0.896,2.694,0,
std,iy-120Hz,lsp-allpass,2,2.252,8.691,0,order_fixes=1
std,iy-120Hz,lsp-allpass,3,0.606,1.822,0,order_fixes=0
std,iy-120Hz,parallel,3,0.669,1.809,0,
std,iy-120Hz,parallel,4,0.137,0.309,0,
std,iy-180Hz,sos,2,2.978,6.762,0,
std,iy-180Hz,sos,3,0.291,1.049,0,
std,iy-180Hz,sos,4,0.055,0.167,0,
std,iy-180Hz,lattice,2,0.873,2.188,0,kclamp=0
std,iy-180Hz,lattice,3,0.162,0.351,0,kclamp=0
std,iy-180Hz,lattice,4,0.021,0.044,0,kclamp=0
std,iy-180Hz,svf,1,31.537,53.539,0,
std,iy-180Hz,svf,2,3.449,8.299,0,
std,iy-180Hz,svf,3,1.088,2.909,0,
std,iy-180Hz,lsp-allpass,2,2.687,11.289,0,order_fixes=1
std,iy-180Hz,lsp-allpass,3,0.348,0.846,0,order_fixes=0
std,iy-180Hz,parallel,3,0.351,0.845,0,
std,iy-180Hz,parallel,4,0.143,0.313,0,
std,iy-250Hz,sos,2,3.504,8.844,0,
std,iy-250Hz,sos,3,0.689,1.736,0,
std,iy-250Hz,sos,4,0.077,0.189,0,
std,iy-250Hz,lattice,2,1.094,2.418,0,kclamp=0
std,iy-250Hz,lattice,3,0.279,0.498,0,kclamp=0
std,iy-250Hz,lattice,4,0.041,0.077,0,kclamp=0
std,iy-250Hz,svf,1,32.374,52.507,0,
std,iy-250Hz,svf,2,2.222,6.254,0,
std,iy-250Hz,svf,3,0.966,2.725,0,
std,iy-250Hz,lsp-allpass,2,1.577,4.236,0,order_fixes=1
std,iy-250Hz,lsp-allpass,3,0.348,1.015,0,order_fixes=0
std,iy-250Hz,parallel,3,1.136,2.259,0,
std,iy-250Hz,parallel,4,0.319,0.644,0,
