cond,utt,variant,lag,lsd_mean,lsd_median,lsd_p90,lsd_frames,nmr_median,nmr_p90,segsnr_mean,segsnr_median,crest_delta_median,crest_delta_p90,estoi_ref,estoi_orig,estoi_ref_vs_orig
uq,hts1a,REF-vs-ORIG,-96,8.8951,8.8134,11.0792,279,-3.7605,-1.1835,-2.9344,-2.6159,0.1717,2.4857,nan,0.6070,0.6070
uq,hts1a,L0,24,8.2953,8.1105,10.9754,222,-2.9753,1.9509,-2.6091,-2.7465,1.7109,4.3663,0.8181,0.5882,0.6070
uq,hts1a,L1,22,8.1290,8.0377,10.9657,222,-3.2107,2.2177,-3.3665,-3.6192,2.3044,4.5651,0.8086,0.5892,0.6070
uq,hts1a,L2-1500,22,8.5910,8.4529,10.9180,222,-1.4307,2.7825,-3.6540,-3.8278,0.9606,3.5809,0.7845,0.5740,0.6070
uq,hts1a,L2-2000,22,8.4420,8.3868,10.5231,222,-2.0104,2.2921,-3.5638,-3.7762,1.4512,4.0463,0.7897,0.5805,0.6070
uq,hts1a,L2-2500,22,8.3485,8.2337,10.7208,222,-2.6280,2.0007,-3.4897,-3.7312,1.8785,4.4438,0.7963,0.5851,0.6070
uq,hts1a,L3,24,8.5203,8.3662,11.1499,222,-1.6314,2.8692,-3.1613,-2.9161,1.4805,4.2923,0.7878,0.5776,0.6070
uq,hts1a,L4-0.50,36,8.0517,7.7641,10.0413,221,-3.7524,1.3035,-3.5817,-3.7463,0.9240,3.7104,0.7875,0.5885,0.6070
uq,hts1a,L4-0.65,27,8.0638,7.8512,10.2727,222,-3.2955,1.3203,-2.6540,-2.6679,0.9748,3.8419,0.7923,0.5862,0.6070
uq,hts1a,L4-0.75,24,8.2741,8.0597,10.6749,222,-2.6096,1.9314,-3.1383,-2.8975,1.1833,4.0949,0.7910,0.5821,0.6070
uq,hts2a,REF-vs-ORIG,-96,8.9849,8.6069,11.1121,275,-3.8941,-1.9616,-3.4311,-3.2869,-0.0716,1.5008,nan,0.5739,0.5739
uq,hts2a,L0,8,9.0191,8.5944,12.3352,253,-2.8365,2.6672,-2.9713,-3.5808,0.0663,2.3047,0.7814,0.6170,0.5739
uq,hts2a,L1,1,8.9793,8.5901,12.3781,253,-2.7759,1.9292,-3.1926,-3.9788,0.4462,2.8610,0.7810,0.6006,0.5739
uq,hts2a,L2-1500,1,9.4745,9.1954,12.4836,253,-1.7620,2.7834,-3.2670,-3.8036,0.1419,2.1676,0.7547,0.5935,0.5739
uq,hts2a,L2-2000,1,9.2991,8.8230,12.4892,253,-2.1129,2.4671,-3.2232,-3.8326,0.2419,2.4406,0.7651,0.5983,0.5739
uq,hts2a,L2-2500,1,9.1652,8.7051,12.3094,253,-2.3462,2.2767,-3.2029,-3.9224,0.3355,2.5925,0.7718,0.6016,0.5739
uq,hts2a,L3,9,9.3195,8.8921,11.6640,252,-1.8629,2.6372,-2.5875,-3.1892,0.2568,2.3816,0.7480,0.5673,0.5739
